,Produktname,Line,Charge,Uhrzeit,KW,Mitarbeiter,Bezug Nr.,dE*ab(D65),Bewertung,L,a,b,dL*(D65),da*(D65),db*(D65),YI,Helligkeit(D65),a* Bewertung(D65),b* Bewertung(D65),dE00(D65),Date
222,BP 110/02 (717221),ZSK 70.9,22010724,NIR Probe 9,42,TP,11,3.71,FAIL,77.17,3.15,21.02,2.73,-1.43,-2.06,45.3,"2,73 heller","1,43 weniger rot","2,06 weniger gelb",2.54,811 (18.10.2022 15:29:57)
223,BP 110/02 (717221),ZSK 70.9,22010724,NIR Probe 10,42,TP,11,3.78,FAIL,77.37,3.19,21.15,2.94,-1.39,-1.93,45.48,"2,94 heller","1,39 weniger rot","1,93 weniger gelb",2.61,812 (18.10.2022 15:31:46)
224,BP 110/02 (717221),MP,22010634,16:23,42,LK,11,3.2,FAIL,77.36,3.97,21.94,2.92,-0.6,-1.14,47.59,"2,92 heller","0,60 weniger rot","1,14 weniger gelb",2.24,826 (19.10.2022 10:05:52)
225,BP 110/02 (717221),ZSK 70.9,NIR 22010726-1,11:32,42,Trainee,11,3.72,FAIL,77.21,3.03,21.15,2.77,-1.55,-1.93,45.4,"2,77 heller","1,55 weniger rot","1,93 weniger gelb",2.6,834 (19.10.2022 13:51:17)
226,BP 110/02 (717221),ZSK 70.9,NIR 22010726-2,11:53,42,Trainee,11,3.91,FAIL,77.3,2.91,21.01,2.86,-1.67,-2.08,45,"2,86 heller","1,67 weniger rot","2,08 weniger gelb",2.74,835 (19.10.2022 13:53:00)
227,BP 110/02 (717221),ZSK 70.9,NIR 220107263,12:09,42,Trainee,11,4.19,FAIL,77.58,3.07,20.75,3.14,-1.5,-2.33,44.59,"3,14 heller","1,50 weniger rot","2,33 weniger gelb",2.85,836 (19.10.2022 13:54:41)
228,BP 110/02 (717221),ZSK 70.9,NIR 22010726-4,12:45,42,Trainee,11,4.41,FAIL,77.76,2.9,20.72,3.33,-1.67,-2.37,44.3,"3,33 heller","1,67 weniger rot","2,37 weniger gelb",3.04,838 (19.10.2022 14:29:15)
229,BP 110/02 (717221),ZSK 70.9,NIR 22010726-5,13:07,42,Trainee,11,3.14,FAIL,76.44,3.22,21.08,2,-1.36,-2.01,45.78,"2,00 heller","1,36 weniger rot","2,01 weniger gelb",2.1,839 (19.10.2022 14:30:23)
230,BP 110/02 (717231),ZSK 70.8,22010708,7:30,43,SK,11,0.49,PASS,74.05,4.88,23.06,-0.38,0.3,-0.02,51.93,"0,38 dunkler","0,30 röter","0,02 weniger gelb",0.41,899 (25.10.2022 08:49:14)
231,BP 110/02 (717231),ZSK 70.8,22010708 1-22,9:30,43,SK,11,1.39,FAIL,73.54,5.28,23.89,-0.89,0.71,0.8,54,"0,89 dunkler","0,71 röter","0,80 gelber",0.95,909 (25.10.2022 12:45:12)
