,Produktname,Line,Charge,Uhrzeit,KW,Mitarbeiter,Bezug Nr.,dE*ab(D65),Bewertung,L,a,b,dL*(D65),da*(D65),db*(D65),YI,Helligkeit(D65),a* Bewertung(D65),b* Bewertung(D65),dE00(D65),Date
499,BP 110/02 (717221),ZSK 70.8,23010004 AA,6:00,2,Trainee,11,2.43,FAIL,72.29,5.59,23.6,-2.15,1.01,0.52,54.47,"2,15 dunkler","1,01 röter","0,52 gelber",1.85,2144 (11.01.2023 07:41:54)
500,BP 110/02 (717221),ZSK 70.8,23010004,6:00,2,Trainee,11,2.63,FAIL,72.03,5.42,23.74,-2.41,0.84,0.66,54.68,"2,41 dunkler","0,84 röter","0,66 gelber",1.96,2156 (11.01.2023 08:06:34)
501,BP 110/02 (717221),MP,22010829,nach 1 Monat,2,Trainee,11,1.39,FAIL,75.59,4.42,22.33,1.15,-0.16,-0.76,49.48,"1,15 heller","0,16 weniger rot","0,76 weniger gelb",0.92,2159 (11.01.2023 08:59:13)
502,BP 110/02 (717221),ZSK 70.8,23010004,11:00,2,Trainee,11,0.6,PASS,74.13,4.61,22.57,-0.3,0.04,-0.51,50.79,"0,30 dunkler","0,04 röter","0,51 weniger gelb",0.35,2161 (11.01.2023 12:27:27)
503,BP 110/02 (717221),ZSK 70.8,23010004,18:05,2,Trainee,11,0.62,PASS,74.76,4.33,22.62,0.32,-0.25,-0.47,50.28,"0,32 heller","0,25 weniger rot","0,47 weniger gelb",0.38,2171 (12.01.2023 07:36:29)
504,BP 110/02 (717221),ZSK 70.8,23010004,6:00,2,Trainee,11,0.33,PASS,74.28,4.64,22.8,-0.15,0.06,-0.28,51.12,"0,15 dunkler","0,06 röter","0,28 weniger gelb",0.2,2172 (12.01.2023 07:37:26)
505,BP 110/02 (717231),MP,23010004 1-22,9:35,2,SK,11,0.49,PASS,74.84,4.52,22.82,0.4,-0.06,-0.27,50.77,"0,40 heller","0,06 weniger rot","0,27 weniger gelb",0.32,2189 (12.01.2023 12:45:22)
506,BP 110/02 (717231),ZSK 70.8,23010004,6:00,2,SK,11,0.75,Warnung,74.61,4.49,22.37,0.18,-0.09,-0.72,50.07,"0,18 heller","0,09 weniger rot","0,72 weniger gelb",0.38,2190 (12.01.2023 12:47:03)
507,BP 110/02 (717221),ZSK 70.8,23010016,18:00,2,Trainee,11,2.42,FAIL,75.9,3.77,21.34,1.46,-0.81,-1.74,47,"1,46 heller","0,81 weniger rot","1,74 weniger gelb",1.5,2210 (13.01.2023 09:32:25)
508,BP 110/02 (717221),ZSK 70.8,23010016 AA,6:00,2,Trainee,11,2.25,FAIL,75.93,3.79,21.6,1.49,-0.79,-1.49,47.44,"1,49 heller","0,79 weniger rot","1,49 weniger gelb",1.45,2211 (13.01.2023 09:33:35)
509,BP 110/02 (717221),ZSK 70.8,23010016,15:29,2,LK,11,1.96,FAIL,75.93,4.04,21.94,1.49,-0.54,-1.14,48.28,"1,49 heller","0,54 weniger rot","1,14 weniger gelb",1.29,2226 (16.01.2023 08:26:44)
510,BP 110/02 (717221),ZSK 70.8,23010017,18:12,2,LK,11,2.97,FAIL,76.61,3.68,21.28,2.18,-0.9,-1.81,46.48,"2,18 heller","0,90 weniger rot","1,81 weniger gelb",1.95,2227 (16.01.2023 08:29:41)
511,BP 110/02 (717221),ZSK 70.8,23010017,12:19,3,LK,11,0.61,PASS,74.56,4.45,22.5,0.13,-0.12,-0.59,50.29,"0,13 heller","0,12 weniger rot","0,59 weniger gelb",0.31,2240 (16.01.2023 12:59:32)
512,BP 110/02 (717221),ZSK 70.8,23010017,11:50 AA,3,LK,11,0.46,PASS,74.42,4.65,22.63,-0.01,0.07,-0.46,50.77,"0,01 dunkler","0,07 röter","0,46 weniger gelb",0.26,2241 (16.01.2023 13:01:07)
513,BP 110/02 (717221),ZSK 70.8,23010017,18:15,3,Trainee,11,0.57,PASS,74.56,4.49,22.54,0.12,-0.09,-0.54,50.4,"0,12 heller","0,09 weniger rot","0,54 weniger gelb",0.28,2271 (17.01.2023 10:48:48)
514,BP 110/02 (717221),MP,23010017 1-22,20:35,3,Trainee,11,0.86,FAIL,74.34,4.58,22.23,-0.09,0.01,-0.85,50.05,"0,09 dunkler","0,01 röter","0,85 weniger gelb",0.44,2272 (17.01.2023 10:49:52)
515,BP 110/02 (717221),ZSK 70.8,23010018 AA,6:00,3,Trainee,11,0.19,PASS,74.24,4.59,23.08,-0.19,0.01,0,51.59,"0,19 dunkler","0,01 röter","0,00 weniger gelb",0.14,2273 (17.01.2023 10:50:59)
516,BP 110/02 (717221),ZSK 70.8,23010018,6:05,3,Trainee,11,0.2,PASS,74.24,4.62,23.1,-0.19,0.04,0.01,51.64,"0,19 dunkler","0,04 röter","0,01 gelber",0.15,2274 (17.01.2023 10:51:59)
517,BP 110/02 (717221),ZSK 70.8,23010018,18:10,3,LK,11,2.22,FAIL,76.21,3.87,21.96,1.77,-0.7,-1.13,48.03,"1,77 heller","0,70 weniger rot","1,13 weniger gelb",1.52,2298 (18.01.2023 09:17:20)
518,BP 110/02 (717221),MP,23010018,23:11,3,LK,11,0.81,Warnung,74.92,4.31,22.5,0.49,-0.27,-0.59,49.97,"0,49 heller","0,27 weniger rot","0,59 weniger gelb",0.5,2299 (18.01.2023 09:18:41)
519,BP 110/02 (717221),ZSK 70.8,23010019,06:00 AA,3,LK,11,0.65,PASS,74.6,4.53,22.46,0.16,-0.05,-0.63,50.27,"0,16 heller","0,05 weniger rot","0,63 weniger gelb",0.34,2301 (18.01.2023 09:21:55)
520,BP 110/02 (717221),ZSK 70.8,23010019,6:17,3,LK,11,1.41,FAIL,75.12,4.14,21.93,0.68,-0.43,-1.15,48.74,"0,68 heller","0,43 weniger rot","1,15 weniger gelb",0.81,2302 (18.01.2023 09:23:00)
521,BP 110/02 (717221),ZSK 70.8,23010019,10:20,3,LK,11,0.6,PASS,73.89,4.77,22.89,-0.54,0.19,-0.19,51.6,"0,54 dunkler","0,19 röter","0,19 weniger gelb",0.46,2309 (18.01.2023 12:28:38)
522,BP 110/01 (717021),MP,23010067,18:23,3,JH,11,0.5,PASS,74.05,4.68,22.78,-0.39,0.11,-0.31,51.25,"0,39 dunkler","0,11 röter","0,31 weniger gelb",0.35,2317 (19.01.2023 07:12:03)
523,BP 110/02 (717221),ZSK 70.8,23010019,17:45,3,JH,11,0.62,PASS,74.03,4.68,22.63,-0.41,0.1,-0.45,51,"0,41 dunkler","0,10 röter","0,45 weniger gelb",0.41,2324 (19.01.2023 07:49:51)
524,BP 110/02 (717221),ZSK 70.8,23010019,1.158333333,3,JH,11,0.7,PASS,74.13,4.55,22.45,-0.31,-0.03,-0.63,50.51,"0,31 dunkler","0,03 weniger rot","0,63 weniger gelb",0.39,2325 (19.01.2023 07:50:53)
525,BP 110/02 (717221),ZSK 70.8,23010020,6:00,3,JH,11,1.64,FAIL,72.96,5.25,23.33,-1.47,0.67,0.24,53.3,"1,47 dunkler","0,67 röter","0,24 gelber",1.26,2326 (19.01.2023 07:52:27)
526,BP 110/02 (717221),ZSK 70.8,23010020,6:05,3,JH,11,1.15,FAIL,73.35,4.93,22.95,-1.09,0.35,-0.14,52.12,"1,09 dunkler","0,35 röter","0,14 weniger gelb",0.88,2327 (19.01.2023 07:53:30)
527,BP 110/02 (717221),ZSK 70.8,23010020,12:11,3,LK,11,1.04,FAIL,73.5,4.71,22.64,-0.93,0.14,-0.45,51.3,"0,93 dunkler","0,14 röter","0,45 weniger gelb",0.75,2349 (19.01.2023 13:39:16)
528,BP 110/02 (717221),ZSK 70.8,23010021,6:08,3,JH,11,0.97,FAIL,74.83,4.33,22.24,0.39,-0.25,-0.85,49.59,"0,39 heller","0,25 weniger rot","0,85 weniger gelb",0.53,2378 (20.01.2023 09:44:48)
529,BP 110/02 (717221),ZSK 70.8,23010021,6:00,3,JH,11,0.99,FAIL,74.01,4.61,22.19,-0.43,0.03,-0.89,50.17,"0,43 dunkler","0,03 röter","0,89 weniger gelb",0.56,2379 (20.01.2023 09:46:31)
530,BP 110/02 (717221),ZSK 70.8,23010021,18:05,3,LK,11,1.32,FAIL,74.21,4.44,21.79,-0.22,-0.14,-1.3,49.2,"0,22 dunkler","0,14 weniger rot","1,30 weniger gelb",0.67,2383 (23.01.2023 08:54:32)
531,BP 110/02 (717221),MP,23010021,3:14,3,LK,11,0.61,PASS,74.61,4.47,22.51,0.18,-0.11,-0.57,50.31,"0,18 heller","0,11 weniger rot","0,57 weniger gelb",0.31,2384 (23.01.2023 08:56:10)
532,BP 110/02 (717221),ZSK 70.4,23010025,8:58,4,LK,11,2.65,FAIL,75.56,4.05,20.74,1.12,-0.52,-2.34,46.37,"1,12 heller","0,52 weniger rot","2,34 weniger gelb",1.46,2401 (23.01.2023 10:53:00)
533,BP 110/02 (717221),ZSK 70.5,23010025,8:57,4,LK,11,1.09,FAIL,75.17,4.14,22.4,0.73,-0.43,-0.69,49.53,"0,73 heller","0,43 weniger rot","0,69 weniger gelb",0.72,2402 (23.01.2023 10:54:40)
534,BP 110/02 (717221),ZSK 70.9,23010025,8:56,4,LK,11,0.79,Warnung,74.05,4.78,23.74,-0.39,0.2,0.66,53,"0,39 dunkler","0,20 röter","0,66 gelber",0.44,2403 (23.01.2023 10:56:26)
535,BP 110/02 (717221),ZSK 70.8,23010022,9:36,4,LK,11,1.23,FAIL,74.98,4.32,22.01,0.54,-0.26,-1.08,49.11,"0,54 heller","0,26 weniger rot","1,08 weniger gelb",0.68,2406 (23.01.2023 11:44:37)
536,BP 110/02 (717221),ZSK 70.8,23010022,10:15 AA,4,LK,11,1.02,FAIL,73.55,5.05,22.92,-0.88,0.47,-0.17,52.09,"0,88 dunkler","0,47 röter","0,17 weniger gelb",0.81,2407 (23.01.2023 11:45:52)
537,BP 110/02 (717221),ZSK 70.4,23010027,6:37,4,LK,11,3.99,FAIL,76.68,3.61,19.93,2.25,-0.97,-3.15,44.03,"2,25 heller","0,97 weniger rot","3,15 weniger gelb",2.37,2422 (24.01.2023 10:43:04)
538,BP 110/02 (717221),ZSK 70.5,23010027,6:37,4,LK,11,1.82,FAIL,75.39,3.89,21.7,0.96,-0.69,-1.39,47.97,"0,96 heller","0,69 weniger rot","1,39 weniger gelb",1.11,2423 (24.01.2023 10:44:22)
539,BP 110/02 (717221),ZSK 70.9,23010027,6:39,4,LK,11,1.05,FAIL,73.81,4.96,23.84,-0.63,0.38,0.75,53.46,"0,63 dunkler","0,38 röter","0,75 gelber",0.65,2424 (24.01.2023 10:45:42)
540,BP 110/02 (717221),MP,23010026,5:07,4,LK,11,1.28,FAIL,75.19,4.21,22.12,0.76,-0.36,-0.96,49.11,"0,76 heller","0,36 weniger rot","0,96 weniger gelb",0.77,2425 (24.01.2023 10:47:26)
541,BP 110/02 (717221),ZSK 70.8,23010022,18:00,4,LK,11,0.35,PASS,74.57,4.6,22.76,0.14,0.02,-0.33,50.87,"0,14 heller","0,02 röter","0,33 weniger gelb",0.2,2428 (24.01.2023 12:05:54)
542,BP 110/02 (717221),ZSK 70.8,23010022,18:00 AA,4,LK,11,0.32,PASS,74.23,4.62,22.84,-0.21,0.04,-0.24,51.21,"0,21 dunkler","0,04 röter","0,24 weniger gelb",0.21,2429 (24.01.2023 12:07:47)
543,BP 110/02 (717221),ZSK 70.8,23010022,6:38,4,LK,11,2.38,FAIL,75.52,3.87,21.09,1.09,-0.71,-1.99,46.82,"1,09 heller","0,71 weniger rot","1,99 weniger gelb",1.36,2430 (24.01.2023 12:09:18)
544,BP 110/02 (717221),ZSK 70.8 ,23010022,06:50 AA,4,LK,11,0.72,Warnung,74.2,4.51,22.41,-0.24,-0.07,-0.68,50.36,"0,24 dunkler","0,07 weniger rot","0,68 weniger gelb",0.38,2431 (24.01.2023 12:11:07)
545,BP 110/02 (717221),MP,23010022,9:50,4,LK,11,0.72,PASS,73.8,4.83,22.85,-0.64,0.26,-0.23,51.64,"0,64 dunkler","0,26 röter","0,23 weniger gelb",0.56,2432 (24.01.2023 12:12:39)
546,BP 110/02 (717221),ZSK 70.4,23010025,18:00,4,LK,11,4.52,FAIL,76.77,3.51,19.37,2.34,-1.06,-3.71,42.9,"2,34 heller","1,06 weniger rot","3,71 weniger gelb",2.63,2437 (24.01.2023 13:25:08)
547,BP 110/02 (717221),ZSK 70.5,23010025,18:00,4,LK,11,1.28,FAIL,75.14,4.13,22.12,0.7,-0.44,-0.97,49.05,"0,70 heller","0,44 weniger rot","0,97 weniger gelb",0.77,2438 (24.01.2023 13:27:03)
548,BP 110/02 (717221),ZSK 70.9,23010025,18:00,4,LK,11,0.55,PASS,74.14,4.92,23.41,-0.29,0.34,0.33,52.52,"0,29 dunkler","0,34 röter","0,33 gelber",0.39,2439 (24.01.2023 13:28:27)
549,BP 110/02 (717221),MP,23010025,19:11,4,LK,11,1.8,FAIL,75.53,4.03,21.77,1.1,-0.54,-1.32,48.16,"1,10 heller","0,54 weniger rot","1,32 weniger gelb",1.1,2440 (24.01.2023 13:30:14)
550,BP 110/02 (717231),ZSK 70.8,23010023,18:00,4,SK,11,0.45,PASS,74.12,4.64,22.77,-0.32,0.06,-0.31,51.16,"0,32 dunkler","0,06 röter","0,31 weniger gelb",0.3,2451 (25.01.2023 10:33:40)
551,BP 110/02 (717231),ZSK 70.8,23010023,18:00 AA,4,SK,11,1.39,FAIL,73.2,5.19,23.32,-1.23,0.61,0.23,53.1,"1,23 dunkler","0,61 röter","0,23 gelber",1.07,2452 (25.01.2023 10:35:16)
552,BP 110/02 (717231),ZSK 70.8,23010023,06:00 AA,4,SK,11,0.88,Warnung,74.06,4.69,22.29,-0.37,0.12,-0.79,50.4,"0,37 dunkler","0,12 röter","0,79 weniger gelb",0.53,2453 (25.01.2023 10:36:30)
553,BP 110/02 (717231),ZSK 70.8,23010023,6:56,4,SK,11,1.71,FAIL,74.45,4.42,21.38,0.01,-0.16,-1.7,48.36,"0,01 heller","0,16 weniger rot","1,70 weniger gelb",0.86,2454 (25.01.2023 10:37:56)
554,BP 110/02 (717221),MP,23010027,15:01,4,LK,11,1.51,FAIL,75.24,4.43,21.82,0.8,-0.15,-1.26,48.76,"0,80 heller","0,15 weniger rot","1,26 weniger gelb",0.86,2462 (25.01.2023 12:40:42)
555,BP 110/02 (717221),ZSK 70.5,23010028,18:00,4,LK,11,2.25,FAIL,75.88,3.95,21.47,1.44,-0.63,-1.61,47.4,"1,44 heller","0,63 weniger rot","1,61 weniger gelb",1.4,2467 (25.01.2023 13:12:15)
556,BP 110/02 (717221),ZSK 70.9,23010028,18:00,4,LK,11,0.32,PASS,74.56,4.73,22.84,0.13,0.15,-0.25,51.14,"0,13 heller","0,15 röter","0,25 weniger gelb",0.23,2468 (25.01.2023 13:13:12)
557,BP 110/02 (717221),MP,23010028,0:14,4,LK,11,1.82,FAIL,75.48,4.18,21.65,1.04,-0.39,-1.44,48.11,"1,04 heller","0,39 weniger rot","1,44 weniger gelb",1.07,2469 (25.01.2023 13:14:50)
558,BP 110/02 (717221),MP,23010023,12:37,4,LK,11,1.08,FAIL,73.45,4.88,22.75,-0.98,0.3,-0.34,51.68,"0,98 dunkler","0,30 röter","0,34 weniger gelb",0.82,2472 (25.01.2023 13:26:15)
559,BP 110/02 (717221),ZSK 70.8,23010024,18:17,4,LK,11,0.94,Warnung,73.56,4.93,23.14,-0.87,0.35,0.06,52.36,"0,87 dunkler","0,35 röter","0,06 gelber",0.72,2482 (26.01.2023 08:24:35)
560,BP 110/02 (717221),ZSK 70.8,23010024,18:00 AA,4,LK,11,1.47,FAIL,73.06,5.1,23.14,-1.38,0.52,0.06,52.79,"1,38 dunkler","0,52 röter","0,06 gelber",1.13,2483 (26.01.2023 08:26:00)
561,BP 110/02 (717221),ZSK 70.8,23010024,6:40,4,LK,11,1.5,FAIL,74.18,4.56,21.61,-0.25,-0.02,-1.47,49.02,"0,25 dunkler","0,02 weniger rot","1,47 weniger gelb",0.78,2484 (26.01.2023 08:27:39)
562,BP 110/02 (717221),ZSK 70.8,23010024,7:28,4,LK,11,1,FAIL,74.76,4.42,22.15,0.32,-0.16,-0.93,49.56,"0,32 heller","0,16 weniger rot","0,93 weniger gelb",0.52,2485 (26.01.2023 08:28:49)
563,BP 110/02 (717221),ZSK 70.8,23010024,18:00,4,LK,11,1.83,FAIL,72.79,5.19,22.58,-1.65,0.62,-0.51,52.03,"1,65 dunkler","0,62 röter","0,51 weniger gelb",1.41,2538 (27.01.2023 11:19:34)
564,BP 110/02 (717221),ZSK 70.8,23010051,18:00 AA,4,LK,11,1.61,FAIL,73.14,5.04,22.25,-1.29,0.46,-0.84,51.12,"1,29 dunkler","0,46 röter","0,84 weniger gelb",1.18,2542 (27.01.2023 11:30:54)
565,BP 110/02 (717221),ZSK 70.8,23010051,06:00 AA,4,LK,11,1.36,FAIL,75.25,4.25,22.04,0.81,-0.33,-1.04,48.98,"0,81 heller","0,33 weniger rot","1,04 weniger gelb",0.81,2543 (27.01.2023 11:32:01)
566,BP 110/02 (717221),ZSK 70.8,23010051,6:56,4,LK,11,1.99,FAIL,75.37,4.12,21.38,0.93,-0.46,-1.7,47.65,"0,93 heller","0,46 weniger rot","1,70 weniger gelb",1.12,2544 (27.01.2023 11:33:10)
567,BP 110/02 (717221),ZSK 70.8,23010051,18:00,4,LK,11,2.31,FAIL,75.79,3.95,21.32,1.36,-0.63,-1.76,47.19,"1,36 heller","0,63 weniger rot","1,76 weniger gelb",1.39,2556 (30.01.2023 09:25:28)
568,BP 110/02 (717221),ZSK 70.8,23010051,18:00 AA,4,LK,11,1.64,FAIL,74.95,4.28,21.55,0.52,-0.3,-1.53,48.28,"0,52 heller","0,30 weniger rot","1,53 weniger gelb",0.86,2557 (30.01.2023 09:26:27)
569,BP 110/02 (717221),ZSK 70.8,10051,22:15,4,LK,11,0.98,FAIL,74.37,4.57,22.1,-0.06,0,-0.98,49.81,"0,06 dunkler","0,00 weniger rot","0,98 weniger gelb",0.51,2558 (30.01.2023 09:27:35)
570,BP 110/02 (717231),ZSK 70.8,23010052,12:15,5,SK,11,1.4,FAIL,73.15,5.14,23.08,-1.29,0.56,0,52.67,"1,29 dunkler","0,56 röter","0,00 weniger gelb",1.09,2570 (30.01.2023 13:40:54)
571,BP 110/02 (717221),ZSK 70.8,23010052,12:45,5,SK,11,1.18,FAIL,73.59,4.76,22.29,-0.85,0.18,-0.8,50.69,"0,85 dunkler","0,18 röter","0,80 weniger gelb",0.79,2571 (30.01.2023 13:42:36)
572,BP 800 (880031),ZSK 70.6,23880013,13:15,5,SK,11,11.32,FAIL,70.89,3.95,12.35,-3.55,-0.63,-10.73,32.02,"3,55 dunkler","0,63 weniger rot","10,73 weniger gelb",6.65,2572 (30.01.2023 13:43:49)
573,BP 110/02 (717221),ZSK 70.8,23010052,6:00,5,LK,11,1.03,FAIL,74.32,4.61,22.07,-0.12,0.03,-1.02,49.8,"0,12 dunkler","0,03 röter","1,02 weniger gelb",0.54,2587 (31.01.2023 10:09:51)
574,BP 110/02 (717221),ZSK 70.8,23010052,06:00 AA,5,LK,11,1.35,FAIL,73.28,5.18,22.74,-1.15,0.6,-0.34,52.05,"1,15 dunkler","0,60 röter","0,34 weniger gelb",1.07,2588 (31.01.2023 10:11:04)
575,BP 110/02 (717221),ZSK 70.8,23010052,18:00,5,LK,11,0.91,FAIL,74.66,4.55,22.2,0.23,-0.03,-0.89,49.81,"0,23 heller","0,03 weniger rot","0,89 weniger gelb",0.48,2589 (31.01.2023 10:12:19)
576,BP 110/02 (717221),MP,230100052,7:53,5,LK,11,0.94,FAIL,74.79,4.41,22.23,0.35,-0.16,-0.85,49.68,"0,35 heller","0,16 weniger rot","0,85 weniger gelb",0.5,2590 (31.01.2023 10:13:44)
577,BP 110/02 (717221),ZSK 70.8,23010053,18:00,5,LK,11,2,FAIL,75.2,4.08,21.31,0.76,-0.49,-1.78,47.55,"0,76 heller","0,49 weniger rot","1,78 weniger gelb",1.09,2617 (01.02.2023 10:33:16)
578,BP 110/02 (717221),ZSK 70.8,23010053,6:00,5,LK,11,1.59,FAIL,75.37,4.11,21.89,0.93,-0.47,-1.2,48.52,"0,93 heller","0,47 weniger rot","1,20 weniger gelb",0.96,2618 (01.02.2023 10:34:16)
579,BP 110/02 (717221),ZSK 70.8,23010053,6:00,5,LK,11,1.06,FAIL,74.66,4.63,22.06,0.23,0.05,-1.03,49.64,"0,23 heller","0,05 röter","1,03 weniger gelb",0.57,2619 (01.02.2023 10:35:14)
580,BP 110/02 (717221),MP,23010053,9:02,5,LK,11,0.75,Warnung,74.17,4.7,22.39,-0.26,0.12,-0.69,50.53,"0,26 dunkler","0,12 röter","0,69 weniger gelb",0.45,2620 (01.02.2023 10:37:43)
581,BP 110/02 (717221),ZSK 70.8,23010055,18:00,5,LK,11,0.63,PASS,74.12,4.74,22.56,-0.31,0.16,-0.52,50.89,"0,31 dunkler","0,16 röter","0,52 weniger gelb",0.41,2642 (02.02.2023 08:49:09)
582,BP 110/02 (717221),ZSK 70.8,23010055,6:00,5,LK,11,1.28,FAIL,74.29,4.46,21.82,-0.14,-0.12,-1.27,49.23,"0,14 dunkler","0,12 weniger rot","1,27 weniger gelb",0.64,2643 (02.02.2023 08:50:07)
583,BP 110/02 (717221),ZSK 70.8,23010055,06:00 AA,5,LK,11,0.36,PASS,74.21,4.74,22.85,-0.22,0.16,-0.24,51.34,"0,22 dunkler","0,16 röter","0,24 weniger gelb",0.27,2644 (02.02.2023 08:50:52)
584,BP 110/02 (717221),ZSK 70.8,23010055,9:43,5,JH,11,1.04,FAIL,73.81,4.76,22.27,-0.63,0.19,-0.81,50.56,"0,63 dunkler","0,19 röter","0,81 weniger gelb",0.68,2657 (02.02.2023 11:39:53)
585,BP 610 (616021),ZSK 70.2,23150006,18:00,5,JH,11,7.55,FAIL,67.71,6.72,20.39,-6.72,2.14,-2.7,52.27,"6,72 dunkler","2,14 röter","2,70 weniger gelb",5.89,2658 (02.02.2023 11:41:33)
586,BP 110/02 (717231),ZSK 70.8,23010056,18:00,5,SK,11,1.09,FAIL,75.15,4.44,22.28,0.72,-0.14,-0.8,49.62,"0,72 heller","0,14 weniger rot","0,80 weniger gelb",0.66,2684 (03.02.2023 10:28:05)
587,BP 110/02 (717231),ZSK 70.8,23010056,6:00,5,SK,11,0.97,Warnung,73.81,4.84,22.39,-0.62,0.26,-0.69,50.84,"0,62 dunkler","0,26 röter","0,69 weniger gelb",0.67,2685 (03.02.2023 10:29:41)
588,BP 110/02 (717231),ZSK 70.8,23010056,6:00,5,SK,11,1.39,FAIL,74,4.65,21.77,-0.43,0.08,-1.32,49.47,"0,43 dunkler","0,08 röter","1,32 weniger gelb",0.77,2686 (03.02.2023 10:31:13)
589,BP 110/02 (717221),MP,23010056,17:14,5,LK,11,1.63,FAIL,72.92,4.87,22.55,-1.51,0.29,-0.54,51.58,"1,51 dunkler","0,29 röter","0,54 weniger gelb",1.2,2695 (06.02.2023 08:17:29)
590,BP 110/02 (717221),ZSK 70.8,23010075,18:04,5,LK,11,1.6,FAIL,72.97,5.13,22.76,-1.46,0.55,-0.33,52.18,"1,46 dunkler","0,55 röter","0,33 weniger gelb",1.24,2698 (06.02.2023 08:22:55)
591,BP 110/02 (717221),ZSK 70.8,23010075,11:05,6,LK,11,2.19,FAIL,75.86,4.01,21.52,1.42,-0.57,-1.56,47.56,"1,42 heller","0,57 weniger rot","1,56 weniger gelb",1.35,2707 (06.02.2023 13:12:30)
592,BP 110/02 (717221),ZSK 70.8,23010075,12:00 AA,6,LK,11,2.04,FAIL,75.83,4.24,21.64,1.4,-0.34,-1.44,48,"1,40 heller","0,34 weniger rot","1,44 weniger gelb",1.26,2708 (06.02.2023 13:13:56)
593,BP 110/02 (717221),ZSK 70.8,23010076,06:00 AA,6,LK,11,1.12,FAIL,74.04,4.94,22.1,-0.4,0.37,-0.99,50.32,"0,40 dunkler","0,37 röter","0,99 weniger gelb",0.75,2724 (07.02.2023 08:24:22)
594,BP 110/02 (717221),ZSK 70.8,23010076,6:15,6,LK,11,1.47,FAIL,73.21,5.03,22.4,-1.22,0.45,-0.68,51.34,"1,22 dunkler","0,45 röter","0,68 weniger gelb",1.1,2725 (07.02.2023 08:26:00)
595,BP 110/02 (717221),ZSK 70.8,23010075,18:16,6,LK,11,1.59,FAIL,73.31,4.95,22.02,-1.12,0.37,-1.07,50.53,"1,12 dunkler","0,37 röter","1,07 weniger gelb",1.11,2739 (07.02.2023 11:40:34)
596,BP 110/01 (717021),ZSK 70.8,23010075,18:00 AA,6,LK,11,1.44,FAIL,73.89,4.57,21.76,-0.54,0,-1.33,49.43,"0,54 dunkler","0,00 weniger rot","1,33 weniger gelb",0.79,2740 (07.02.2023 11:42:00)
597,BP 110/02 (717221),ZSK 70.8,23010077,06:00 AA,6,LK,11,2.24,FAIL,72.4,5.38,22.58,-2.03,0.8,-0.51,52.41,"2,03 dunkler","0,80 röter","0,51 weniger gelb",1.75,2760 (08.02.2023 10:28:49)
598,BP 110/02 (717221),ZSK 70.8,23010077,6:30,6,LK,11,1.88,FAIL,72.85,5.11,22.21,-1.58,0.53,-0.88,51.26,"1,58 dunkler","0,53 röter","0,88 weniger gelb",1.4,2761 (08.02.2023 10:29:53)
599,BP 110/02 (717221),ZSK 70.8,2301010076,18:04,6,LK,11,1.06,FAIL,73.84,4.93,22.28,-0.6,0.35,-0.81,50.72,"0,60 dunkler","0,35 röter","0,81 weniger gelb",0.74,2777 (08.02.2023 12:57:09)
600,BP 110/01 (712321),ZSK 70.8,23010076,18:00 AA,6,LK,11,1.21,FAIL,73.5,4.87,22.38,-0.94,0.3,-0.71,51.01,"0,94 dunkler","0,30 röter","0,71 weniger gelb",0.86,2778 (08.02.2023 12:58:33)
601,BP 110/01 (712321),MP,23010076,23:53,6,LK,11,2.39,FAIL,72.23,5.48,22.8,-2.2,0.9,-0.29,52.98,"2,20 dunkler","0,90 röter","0,29 weniger gelb",1.88,2779 (08.02.2023 12:59:29)
602,BP 110/02 (717221),ZSK 70.8,23010078,6:05,6,LK,11,1.42,FAIL,73.14,5.14,22.91,-1.29,0.56,-0.18,52.37,"1,29 dunkler","0,56 röter","0,18 weniger gelb",1.11,2791 (09.02.2023 10:15:46)
603,BP 110/02 (717221),ZSK 70.8,23010078,06:00 AA,6,LK,11,1.95,FAIL,72.8,5.61,23.31,-1.63,1.04,0.22,53.72,"1,63 dunkler","1,04 röter","0,22 gelber",1.55,2792 (09.02.2023 10:16:39)
604,BP 110/02 (717221),ZSK 70.8,23010077,19:15,6,LK,11,2.08,FAIL,72.62,5.56,23.33,-1.82,0.98,0.24,53.78,"1,82 dunkler","0,98 röter","0,24 gelber",1.63,2796 (09.02.2023 10:26:57)
605,BP 110/01 (717021),MP,23010077,1:30,6,LK,11,2.54,FAIL,72.11,5.61,23.14,-2.32,1.03,0.06,53.79,"2,32 dunkler","1,03 röter","0,06 gelber",1.99,2797 (09.02.2023 10:28:11)
606,BP 110/02 (717221),ZSK 70.8,23010079,7:30,6,LK,11,2.01,FAIL,72.74,5.61,23.47,-1.69,1.03,0.38,54.01,"1,69 dunkler","1,03 röter","0,38 gelber",1.57,2824 (10.02.2023 10:09:07)
607,BP 110/02 (717221),ZSK 70.8,23010079,7:40,6,LK,11,1.87,FAIL,72.78,5.1,22.4,-1.65,0.52,-0.69,51.62,"1,65 dunkler","0,52 röter","0,69 weniger gelb",1.41,2825 (10.02.2023 10:10:57)
608,BP 110/01 (717021),MP,23010140,14:04,6,LK,11,0.37,PASS,74.49,4.77,23.4,0.05,0.2,0.31,52.19,"0,05 heller","0,20 röter","0,31 gelber",0.22,2826 (10.02.2023 10:13:09)
