,Produktname,Produktionsanlage,Charge,Uhrzeit,L*(D65),a*(D65),b*(D65),YI(E313-98)(D65)
200,BP 110/02 (717221),ZSK 70.8,22010421,18:00,75.14,4.03,22.8,50.12
201,BP 110/02 (717221),ZSK 70.9,22010459,8:30,74.5,4.26,24.43,53.43
202,BP 110/02 (717221),ZSK 70.8,22010423,6:00,74.06,4.56,22.69,50.97
203,BP 110/02 (717221),ZSK 70.8,22010423,6:00,75.12,4.38,22.78,50.43
204,BP 110/02 (717221),ZSK 70.8,22010422,18:00,74.93,4.55,22.81,50.75
205,BP 110/02 (717221),ZSK 70.8,22010422,18:00,75.91,4.03,22.38,49.04
206,BP 110/02 (717221),ZSK 70.8,22010424,6:00,73.22,4.9,23.03,52.3
207,BP 110/02 (717221),ZSK 70.8,22010423,18:00,73.1,4.79,23.27,52.68
208,BP 110/02 (717221),ZSK 70.8,22010423,18:00,73.58,4.52,23.16,51.99
209,BP 110/02 (717221),ZSK 70.8,22010425,6:00,72.51,5.37,23.5,53.96
210,BP 110/02 (717221),ZSK 70.8,22010425,6:00,72,5.32,23.41,54.01
211,BP 110/02 (717221),ZSK 70.4,22010465,6:00,74.89,4.77,23.8,52.67
212,BP 110/02 (717221),ZSK 70.5,22010465,6:00,73.4,5.4,24.12,54.59
213,BP 110/02 (717221),ZSK 70.9,22010465,6:00,73.69,5.26,24.97,55.74
214,BP 110/02 (717221),ZSK 70.8,22010425,18:00,72.78,5.19,23.82,54.19
215,BP 110/02 (717221),ZSK 70.4,22010467,18:00,76.27,3.83,22.71,49.25
216,BP 110/02 (717221),ZSK 70.5,22010467,18:00,0,0,0,------
217,BP 110/02 (717221),ZSK 70.5,22010467,18:00,75.18,4.47,22.77,50.48
218,BP 110/02 (717221),ZSK 70.9,22010467,18:00,74.16,5.12,24.51,54.58
219,BP 110/02 (717221),ZSK 70.4,22010468,8:30,77.19,3.09,21.94,46.82
220,BP 110/02 (717221),ZSK 70.5,22010468,8:30,75.37,3.97,22.11,48.77
221,BP 110/02 (717221),ZSK 70.8,22010425,8:30,74.46,4.5,22.82,50.94
222,BP 110/02 (717221),ZSK 70.9,22010468,10:15,73.89,5.2,24.09,54.09
223,BP 110/02 (717221),ZSK 70.9,22010468,10:15,73.95,5.18,24,53.88
224,BP 110/02 (717221),ZSK 70.4,22010470,6:00,76.72,3.54,21.83,47.27
225,BP 110/02 (717221),ZSK 70.9,22010470,6:00,75.45,4.39,24.07,52.48
226,BP 110/02 (717221),ZSK 70.5,22010470,6:00,0,0,0,------
227,BP 110/02 (717221),ZSK 70.5,22010470,6:00,75.58,4.26,23.58,51.48
228,BP 110/02 (717221),ZSK 70.8,22010427,6:00,73.13,4.95,23.61,53.41
229,BP 110/02 (717221),ZSK 70.8,22010427,18:00,74.01,4.48,23.4,52.14
230,BP 110/02 (717221),ZSK 70.8,22010427,6:00,73.32,4.94,23.36,52.87
231,BP 110/02 (717221),ZSK 70.4,22010468,18:00,77.22,3.39,21.43,46.21
