"qs_merkmal_id","wertnum","bemerkg","csnr"
"235",NULL,NULL,"22800030"
"236","71.59","MP","22800030"
"236",NULL,NULL,"22800030"
"236",NULL,NULL,"22800030"
"236",NULL,NULL,"22800030"
"236",NULL,NULL,"22800030"
"236",NULL,NULL,"22800030"
"237","0.48","MP","22800030"
"237",NULL,NULL,"22800030"
"237",NULL,NULL,"22800030"
"237",NULL,NULL,"22800030"
"237",NULL,NULL,"22800030"
"237",NULL,NULL,"22800030"
"238","8.16","MP","22800030"
"238",NULL,NULL,"22800030"
"238",NULL,NULL,"22800030"
"238",NULL,NULL,"22800030"
"238",NULL,NULL,"22800030"
"238",NULL,NULL,"22800030"
"197","13.698","7 06.00","22800031"
"197","10.187","10 06.00","22800031"
"197","10.933","MP","22800031"
"197","12.902","7 18.00","22800031"
"197","10.026","AA 18.00","22800031"
"197","13.351","AA 06.00","22800031"
"197","10.656","10 06.00","22800031"
"197","12.444","7 06.00","22800031"
"197","10.011","10 18.00","22800031"
"198","1.405","7 06.00","22800031"
"198","1.41","10 06.00","22800031"
"198","1.413","MP","22800031"
"198","1.418","7 18.00","22800031"
"198","1.41","AA 18.00","22800031"
"198","1.41","AA 06.00","22800031"
"198","1.407","10 06.00","22800031"
"198","1.405","7 06.00","22800031"
"198","1.409","10 18.00","22800031"
"100","0.16","7 06.00","22800031"
"100","0.12","10 06.00","22800031"
"100","0.11","MP","22800031"
"100","0.23","7 18.00","22800031"
"100","0.11","AA 18.00","22800031"
"100","0.18","AA 06.00","22800031"
"100","0.13","10 06.00","22800031"
"100","0.19","7 06.00","22800031"
"100","0.13","10 18.00","22800031"
"188","0.0",NULL,"22800031"
"188","1.0",NULL,"22800031"
"203","0.116","7 06.00","22800031"
"203","0.147","10 06.00","22800031"
"203","0.03","MP","22800031"
"203","0.283","10 06.00","22800031"
"203","0.089","7 06.00","22800031"
"203","0.078","10 18.00","22800031"
"203","0.08","7 18.00","22800031"
"203","0.155","AA 18.00","22800031"
"203","0.139","AA 06.00","22800031"
"209",NULL,NULL,"22800031"
"235","20.57","MP","22800031"
"235",NULL,NULL,"22800031"
"235",NULL,NULL,"22800031"
"235",NULL,NULL,"22800031"
"235",NULL,NULL,"22800031"
